Index,Gender,Age,Age Group,Order Month,Status,Platform,Category,Size,Quantity,Amount,City,State,Type of Transaction
107,Women,38,Middle Age Adult,12,Delivered,Amazon,Kurta,L,1,399,Chhapi,Gujarat,B2C
108,Women,39,Middle Age Adult,12,Delivered,Myntra,Kurta,XXL,1,399,Adilabad,Telangana,B2C
109,Women,50,Senior,12,Delivered,Myntra,Set,XS,1,969,Hyderabad,Telangana,B2C
110,Men,31,Young Adults,12,Delivered,Flipkart,Set,M,1,499,Noida,Uttar pradesh,B2C
111,Women,33,Young Adults,12,Delivered,Ajio,Kurta,4XL,1,692,Lucknow,Uttar pradesh,B2C
112,Women,23,Youth,12,Delivered,Myntra,Top,XXL,1,464,Noida,Uttar pradesh,B2C
113,Men,57,Elderly,12,Delivered,Meesho,Set,S,1,525,Tuni,Andhra pradesh,B2C
114,Women,35,Young Adults,12,Delivered,Meesho,Set,L,1,788,Solapur,Maharashtra,B2C
115,Women,69,Elderly,12,Delivered,Flipkart,Set,3XL,1,635,Gwalior,Madhya pradesh,B2C
116,Women,49,Senior,12,Delivered,Meesho,Kurta,L,1,342,Hyderabad,Telangana,B2C
117,Women,31,Young Adults,12,Delivered,Myntra,Saree,Free,1,630,Chennai,Tamil nadu,B2C
118,Women,38,Middle Age Adult,12,Delivered,Amazon,Top,M,1,574,Singtam,Sikkim,B2C
119,Men,46,Middle Age Adult,12,Delivered,Flipkart,Set,S,1,635,Kottayam,Kerala,B2C
120,Women,46,Middle Age Adult,12,Delivered,Myntra,Set,S,1,579,Vasco da gama,Goa,B2C
121,Men,68,Elderly,12,Delivered,Myntra,Kurta,XS,1,417,Itanagar,Arunachal pradesh,B2C
122,Women,20,Youth,12,Delivered,Amazon,Set,3XL,1,655,Roorkee,Uttarakhand,B2C
123,Women,57,Elderly,12,Delivered,Ajio,Set,M,1,688,Gurugram,Haryana,B2C
124,Men,21,Youth,12,Cancelled,Myntra,Top,XS,1,568,Hyderabad,Telangana,B2C
125,Men,29,Young Adults,12,Delivered,Amazon,Saree,Free,1,1176,Bengaluru,Karnataka,B2C
126,Women,49,Senior,12,Delivered,Nalli,Set,XL,1,635,Ajmer,Rajasthan,B2C
127,Women,68,Elderly,12,Delivered,Others,Kurta,XL,1,568,Mumbai,Maharashtra,B2C
128,Women,31,Young Adults,12,Delivered,Others,Set,M,1,1186,Hyderabad,Telangana,B2C
129,Women,19,Youth,12,Delivered,Myntra,Set,3XL,1,1098,Bengaluru,Karnataka,B2C
130,Men,30,Young Adults,12,Delivered,Others,Set,XL,1,692,Bengaluru,Karnataka,B2C
131,Women,26,Young Adults,12,Delivered,Others,Kurta,4XL,1,1043,Kalyan,Maharashtra,B2C
132,Women,29,Young Adults,12,Returned,Amazon,Kurta,L,1,356,Bengaluru,Karnataka,B2C
133,Women,66,Elderly,12,Delivered,Nalli,Set,S,1,1093,Guntur,Andhra pradesh,B2C
134,Women,53,Senior,12,Delivered,Amazon,Set,M,1,759,Pargi,Telangana,B2C
135,Women,41,Middle Age Adult,12,Delivered,Ajio,Kurta,XL,1,368,Thrissur,Kerala,B2C
136,Men,39,Middle Age Adult,12,Delivered,Amazon,Western dress,XL,1,744,Kolkata,West bengal,B2C
137,Women,36,Young Adults,12,Delivered,Myntra,Saree,Free,1,597,Indore,Madhya pradesh,B2C
138,Men,29,Young Adults,12,Delivered,Amazon,Set,XXL,1,721,Chennai,Tamil nadu,B2C
139,Women,47,Senior,12,Delivered,Amazon,Kurta,3XL,1,479,Kozikode,Kerala,B2C
140,Women,20,Youth,12,Delivered,Amazon,Kurta,M,1,635,Hyderabad,Telangana,B2C
141,Women,44,Middle Age Adult,12,Cancelled,Amazon,Set,XS,1,589,Thumbe,Karnataka,B2C
142,Women,38,Middle Age Adult,12,Delivered,Others,Set,S,1,788,Jalandhar,Punjab,B2C
143,Women,21,Youth,12,Delivered,Myntra,Kurta,XXL,1,495,Gurgaon,Haryana,B2C
144,Women,56,Elderly,12,Delivered,Ajio,Top,L,1,574,Bangalore,Karnataka,B2C
145,Women,26,Young Adults,12,Delivered,Myntra,Set,XS,1,474,Mumbai,Maharashtra,B2C
146,Men,37,Middle Age Adult,12,Delivered,Amazon,Set,L,1,1099,Mumbai,Maharashtra,B2C
147,Men,63,Elderly,12,Delivered,Myntra,Set,M,1,1099,Kaithal,Haryana,B2C
148,Women,35,Young Adults,12,Returned,Amazon,Set,3XL,1,654,Vikarabad,Telangana,B2C
149,Women,18,Youth,12,Delivered,Amazon,Kurta,XXL,1,606,Bengaluru,Karnataka,B2C
150,Women,33,Young Adults,12,Delivered,Amazon,Set,3XL,1,684,Kannur,Kerala,B2C
151,Women,55,Senior,12,Delivered,Amazon,Set,M,1,542,Tadong,Sikkim,B2C
152,Women,48,Senior,12,Returned,Ajio,Kurta,6XL,1,1039,Hyderabad,Telangana,B2C
153,Women,43,Middle Age Adult,12,Delivered,Flipkart,Set,XXL,1,582,Imphal,Manipur,B2C
154,Women,42,Middle Age Adult,12,Delivered,Flipkart,Kurta,L,1,499,Jabalpur,Madhya pradesh,B2C
155,Women,35,Young Adults,12,Delivered,Amazon,Kurta,XL,1,346,Hyderabad (500034),Telangana,B2C
156,Women,32,Young Adults,12,Delivered,Amazon,Top,XXL,1,487,Pune,Maharashtra,B2C
157,Women,75,Elderly,12,Delivered,Myntra,Top,L,1,690,New delhi,Delhi,B2C
158,Women,28,Young Adults,12,Delivered,Myntra,Set,M,1,857,Chennai,Tamil nadu,B2C
159,Women,64,Elderly,12,Delivered,Others,Top,XS,1,659,New delhi,Delhi,B2C
160,Women,29,Young Adults,12,Delivered,Amazon,Set,L,1,647,New delhi,Delhi,B2C
161,Women,41,Middle Age Adult,12,Delivered,Myntra,Kurta,S,1,318,Jaipur,Rajasthan,B2C
162,Women,40,Middle Age Adult,12,Delivered,Amazon,Top,XXL,1,360,Bangalore,Karnataka,B2C
163,Women,18,Youth,12,Delivered,Flipkart,Set,XL,1,909,Kolkata,West bengal,B2B
164,Women,31,Young Adults,12,Delivered,Myntra,Set,L,1,792,Thoothukkudi,Tamil nadu,B2C
165,Men,44,Middle Age Adult,12,Delivered,Myntra,Western dress,3XL,1,725,Narasingapuram vellore district,Tamil nadu,B2C
166,Women,32,Young Adults,12,Delivered,Amazon,Kurta,M,1,625,Edathiruthy,Kerala,B2C
167,Women,41,Middle Age Adult,12,Delivered,Ajio,Set,XL,1,563,Pune,Maharashtra,B2C
168,Women,21,Youth,12,Delivered,Amazon,Kurta,M,1,565,Pune,Maharashtra,B2C
169,Women,36,Young Adults,12,Delivered,Flipkart,Set,XXL,1,501,Bhimavaram,Andhra pradesh,B2C
170,Men,48,Senior,12,Cancelled,Flipkart,Western dress,M,1,744,Bengaluru,Karnataka,B2C
171,Women,48,Senior,12,Cancelled,Ajio,Kurta,XS,1,333,Tiruppur,Tamil nadu,B2C
172,Men,21,Youth,12,Delivered,Myntra,Western dress,XL,1,744,Cuttack,Odisha,B2C
173,Women,46,Middle Age Adult,12,Delivered,Myntra,Set,XXL,1,1085,Hissar,Haryana,B2C
174,Men,40,Middle Age Adult,12,Returned,Flipkart,Western dress,3XL,1,721,Ranbirsinghpora,Jammu & kashmir,B2C
175,Women,23,Youth,12,Delivered,Amazon,Set,S,1,666,Jalna,Maharashtra,B2C
176,Women,43,Middle Age Adult,12,Delivered,Amazon,Top,3XL,1,329,Mumbai,Maharashtra,B2C
177,Women,23,Youth,12,Delivered,Meesho,Set,M,1,599,Noida,Uttar pradesh,B2C
178,Women,72,Elderly,12,Delivered,Amazon,Kurta,XL,1,698,Bettiah,Bihar,B2C
179,Women,35,Young Adults,12,Delivered,Myntra,Top,L,1,352,Ghaziabad,Uttar pradesh,B2C
180,Women,28,Young Adults,12,Delivered,Amazon,Saree,Free,1,627,Chennai,Tamil nadu,B2C
181,Men,65,Elderly,12,Delivered,Nalli,Saree,Free,1,399,Bengaluru,Karnataka,B2C
182,Men,36,Young Adults,12,Delivered,Myntra,Blouse,XL,1,1149,Patna,Bihar,B2C
183,Men,70,Elderly,12,Delivered,Meesho,Blouse,S,1,647,Bengaluru,Karnataka,B2C
184,Women,41,Middle Age Adult,12,Delivered,Amazon,Set,L,1,725,Bengaluru,Karnataka,B2C
185,Men,23,Youth,12,Delivered,Ajio,Blouse,L,1,665,Navi mumbai,Maharashtra,B2C
186,Men,23,Youth,12,Delivered,Amazon,Western dress,S,1,1249,New delhi,Delhi,B2C
187,Women,22,Youth,12,Delivered,Amazon,Saree,Free,1,699,Dabra,Madhya pradesh,B2C
188,Women,22,Youth,12,Delivered,Flipkart,Set,XXL,1,1111,Ranchi,Jharkhand,B2C
189,Women,36,Young Adults,12,Delivered,Myntra,Set,3XL,1,635,New delhi,Delhi,B2C
190,Men,50,Senior,12,Returned,Amazon,Western dress,XL,1,735,Bengaluru,Karnataka,B2C
191,Women,40,Middle Age Adult,12,Delivered,Flipkart,Set,L,1,825,Bhubaneswar,Odisha,B2C
192,Women,48,Senior,12,Delivered,Flipkart,Set,S,1,680,Mumbai,Maharashtra,B2C
193,Women,48,Senior,12,Delivered,Amazon,Kurta,XXL,1,545,Bhopal,Madhya pradesh,B2C
194,Women,39,Middle Age Adult,12,Delivered,Myntra,Kurta,M,1,432,Kota,Rajasthan,B2C
195,Women,44,Middle Age Adult,12,Delivered,Amazon,Set,L,1,832,Ahmedabad,Gujarat,B2C
196,Women,66,Elderly,12,Refunded,Flipkart,Kurta,S,1,487,Noida,Uttar pradesh,B2C
197,Women,27,Young Adults,12,Delivered,Ajio,Kurta,M,1,533,Lucknow,Uttar pradesh,B2C
198,Women,23,Youth,12,Delivered,Ajio,Top,XXL,1,321,Indore,Madhya pradesh,B2C
199,Women,45,Middle Age Adult,12,Delivered,Flipkart,Kurta,L,1,486,Shivamogga,Karnataka,B2C
200,Women,38,Middle Age Adult,12,Delivered,Amazon,Kurta,M,1,399,Moradabad,Uttar pradesh,B2C
201,Women,31,Young Adults,12,Delivered,Amazon,Kurta,M,1,342,Bengaluru,Karnataka,B2C
202,Women,35,Young Adults,12,Delivered,Myntra,Set,XL,1,888,Bengaluru,Karnataka,B2C
203,Women,38,Middle Age Adult,12,Delivered,Flipkart,Kurta,XXL,1,461,Karjat raigarh district,Maharashtra,B2C
204,Women,19,Youth,12,Delivered,Flipkart,Top,XXL,1,545,Agartala,Tripura,B2C
205,Men,30,Young Adults,12,Delivered,Others,Western dress,3XL,1,725,Ambarnath east,Maharashtra,B2C
206,Women,39,Middle Age Adult,12,Delivered,Flipkart,Set,XL,1,799,Guwahati,Assam,B2C
207,Men,66,Elderly,12,Delivered,Ajio,Western dress,S,1,899,Howrah,West bengal,B2C
208,Women,42,Middle Age Adult,12,Delivered,Amazon,Set,XL,1,1186,Dhanbad,Jharkhand,B2C
209,Women,57,Elderly,12,Delivered,Amazon,Top,M,1,540,Gurugram,Haryana,B2C
210,Women,26,Young Adults,12,Delivered,Meesho,Kurta,XXL,1,435,Tiruchirappalli,Tamil nadu,B2C
211,Women,36,Young Adults,12,Refunded,Amazon,Set,XL,1,478,Ambarnath,Maharashtra,B2C
212,Women,27,Young Adults,12,Delivered,Flipkart,Set,M,1,664,Lucknow,Uttar pradesh,B2C
213,Women,24,Youth,12,Delivered,Flipkart,Set,M,1,641,Bengaluru,Karnataka,B2C
214,Men,31,Young Adults,12,Delivered,Amazon,Kurta,L,1,399,Hyderabad,Telangana,B2C
215,Women,33,Young Adults,12,Delivered,Amazon,Set,XL,1,1115,Kolkata,West bengal,B2C
216,Men,40,Middle Age Adult,12,Delivered,Myntra,Saree,Free,1,729,Kolkata,West bengal,B2C
217,Women,48,Senior,12,Delivered,Myntra,Set,S,1,635,Chennai,Tamil nadu,B2C
218,Men,28,Young Adults,12,Delivered,Myntra,Saree,Free,1,729,Makronia buzurg,Madhya pradesh,B2C
219,Women,41,Middle Age Adult,12,Delivered,Ajio,Set,XXL,1,877,Kunnathunad,Kerala,B2C
220,Women,35,Young Adults,12,Delivered,Amazon,Set,M,1,666,Tirupati,Andhra pradesh,B2C
221,Women,27,Young Adults,12,Delivered,Flipkart,Saree,Free,1,1442,South west delhi,Delhi,B2C
222,Women,74,Elderly,12,Delivered,Myntra,Saree,Free,1,790,Kolkata,West bengal,B2C
223,Women,65,Elderly,12,Delivered,Flipkart,Saree,Free,1,799,Navi mumbai,Maharashtra,B2C
224,Women,53,Senior,12,Delivered,Flipkart,Set,XL,1,950,Pali,Rajasthan,B2C
225,Women,24,Youth,12,Delivered,Flipkart,Saree,Free,1,533,Kolkata,West bengal,B2C
226,Women,64,Elderly,12,Returned,Amazon,Set,S,1,655,Hyderabad,Telangana,B2C
227,Women,30,Young Adults,12,Delivered,Flipkart,Saree,Free,1,499,Zirakpur,Punjab,B2C
228,Women,22,Youth,12,Delivered,Amazon,Set,XXL,1,529,Anjar,Gujarat,B2C
229,Women,23,Youth,12,Delivered,Amazon,Set,M,1,547,Gangtok,Sikkim,B2C
230,Women,35,Young Adults,12,Delivered,Amazon,Kurta,5XL,1,683,Sitapur,Uttar pradesh,B2C
231,Women,20,Youth,12,Delivered,Amazon,Top,XXL,1,499,Ahmedabad,Gujarat,B2C
232,Men,43,Middle Age Adult,12,Delivered,Ajio,Ethnic dress,XL,1,791,Dehradun,Uttarakhand,B2C
233,Women,49,Senior,12,Delivered,Nalli,Set,L,1,763,Gudiyatham,Tamil nadu,B2C
234,Women,47,Senior,12,Delivered,Amazon,Saree,Free,1,650,Daudnagar,Bihar,B2C
235,Women,41,Middle Age Adult,12,Delivered,Amazon,Saree,Free,1,329,Dharmasthala,Karnataka,B2C
236,Women,40,Middle Age Adult,12,Returned,Ajio,Set,M,1,672,Katihar,Bihar,B2C
237,Women,42,Middle Age Adult,12,Cancelled,Amazon,Set,3XL,1,788,Bengaluru,Karnataka,B2B
238,Women,42,Middle Age Adult,12,Delivered,Myntra,Kurta,M,1,292,Chennai,Tamil nadu,B2C
239,Women,28,Young Adults,12,Delivered,Amazon,Saree,Free,1,399,Hazaribagh,Jharkhand,B2C
240,Women,38,Middle Age Adult,12,Delivered,Amazon,Top,XXL,1,726,Kolkata,West bengal,B2C
241,Women,39,Middle Age Adult,12,Delivered,Meesho,Set,3XL,1,684,Chandigarh,Chandigarh,B2C
242,Women,67,Elderly,12,Delivered,Flipkart,Saree,Free,1,1099,Naharlgun nirjuli,Arunachal pradesh,B2C
243,Women,65,Elderly,12,Delivered,Myntra,Kurta,M,1,435,Hyderabad,Telangana,B2C
244,Women,67,Elderly,12,Delivered,Flipkart,Set,XL,1,666,Thane,Maharashtra,B2C
245,Women,77,Elderly,12,Delivered,Flipkart,Set,XL,1,698,Bela pratapgarh,Uttar pradesh,B2C
246,Women,36,Young Adults,12,Delivered,Flipkart,Kurta,3XL,1,461,New delhi,Delhi,B2C
247,Women,53,Senior,12,Delivered,Myntra,Saree,Free,1,534,Hyderabad,Telangana,B2C
248,Women,26,Young Adults,12,Delivered,Flipkart,Set,L,1,657,Visakhapatnam,Andhra pradesh,B2C
249,Women,43,Middle Age Adult,12,Cancelled,Nalli,Kurta,M,1,333,Dombivli,Maharashtra,B2C
250,Women,59,Elderly,12,Delivered,Amazon,Saree,Free,1,1319,Bengaluru,Karnataka,B2C
251,Women,29,Young Adults,12,Delivered,Myntra,Kurta,S,1,399,Ranchi,Jharkhand,B2C
252,Women,34,Young Adults,12,Delivered,Myntra,Kurta,5XL,1,452,Patna,Bihar,B2C
253,Women,57,Elderly,12,Delivered,Flipkart,Set,S,1,607,Palakkad,Kerala,B2C
254,Women,30,Young Adults,12,Delivered,Amazon,Set,XL,1,597,Warangal,Telangana,B2C
255,Women,26,Young Adults,12,Delivered,Myntra,Saree,Free,1,452,New delhi,Delhi,B2C
256,Women,32,Young Adults,12,Delivered,Flipkart,Set,XXL,1,1186,Ghaziabad,Uttar pradesh,B2C
257,Women,60,Elderly,12,Delivered,Myntra,Kurta,L,1,352,Erode,Tamil nadu,B2C
258,Women,37,Middle Age Adult,12,Delivered,Ajio,Blouse,S,1,625,Hyderabad,Telangana,B2C
259,Women,49,Senior,12,Delivered,Ajio,Kurta,3XL,1,399,Chennai,Tamil nadu,B2C
260,Women,62,Elderly,12,Delivered,Amazon,Set,XS,1,437,Pune,Maharashtra,B2C
261,Women,39,Middle Age Adult,12,Delivered,Myntra,Kurta,4XL,1,453,Kolhapur,Maharashtra,B2C
262,Women,42,Middle Age Adult,12,Returned,Flipkart,Set,M,1,1065,Raipur,Chhattisgarh,B2C
263,Women,38,Middle Age Adult,12,Delivered,Flipkart,Kurta,XS,1,362,Bagepalli,Karnataka,B2C
